Date,Price,Open,High,Low,Vol.,Change %
18-07-23,79.33,79.33,79.33,79.33,,0.64%
17-07-23,78.83,78.83,78.83,78.83,,-0.61%
14-07-23,79.31,79.31,79.31,79.31,,-0.72%
13-07-23,79.89,79.89,79.89,79.89,,1.02%
12-07-23,79.07,79.08,79.08,79.08,,0.36%
11-07-23,78.79,78.8,78.8,78.8,,1.52%
10-07-23,77.62,77.62,77.62,77.62,,-0.80%
07-07-23,78.24,78.24,78.24,78.24,,2.23%
06-07-23,76.54,76.54,76.54,76.54,,0.15%
05-07-23,76.42,76.42,76.42,76.42,,2.02%
03-07-23,74.91,74.91,74.91,74.91,,-0.11%
30-06-23,74.99,74.99,74.99,74.99,,0.06%
29-06-23,74.95,74.95,74.95,74.95,,0.02%
28-06-23,74.94,74.94,74.94,74.94,,0.21%
27-06-23,74.78,74.78,74.78,74.78,,-0.20%
26-06-23,74.93,74.93,74.93,74.93,,0.07%
23-06-23,74.88,74.88,74.88,74.88,,-0.05%
22-06-23,74.91,74.91,74.91,74.91,,-1.04%
21-06-23,75.7,75.7,75.7,75.7,,0.80%
20-06-23,75.1,75.1,75.1,75.1,,-0.13%
16-06-23,75.2,75.2,75.2,75.2,,0.68%
15-06-23,74.69,74.69,74.69,74.69,,1.73%
14-06-23,73.42,73.42,73.42,73.42,,-0.64%
13-06-23,73.89,73.89,73.89,73.89,,2.06%
12-06-23,72.41,72.41,72.41,72.41,,-2.66%
09-06-23,74.38,74.38,74.38,74.38,,-1.09%
08-06-23,75.2,75.2,75.2,75.2,,-0.84%
07-06-23,75.83,75.83,75.83,75.83,,0.45%
06-06-23,75.5,75.5,75.5,75.5,,0.48%
05-06-23,75.14,75.14,75.14,75.14,,0.98%
02-06-23,74.41,74.41,74.41,74.41,,2.27%
01-06-23,72.75,72.75,72.75,72.75,,-2.90%
31-05-23,74.93,74.92,74.92,74.92,,-0.03%
30-05-23,74.95,74.95,74.95,74.95,,-0.25%
26-05-23,75.14,75.14,75.14,75.14,,0.19%
25-05-23,75,75,75,75,,-0.55%
24-05-23,75.41,75.41,75.41,75.41,,0.57%
23-05-23,74.99,74.99,74.99,74.99,,0.30%
22-05-23,74.77,74.77,74.77,74.77,,0.21%
19-05-23,74.61,74.61,74.61,74.61,,-0.20%
18-05-23,74.76,74.76,74.76,74.76,,-0.57%
17-05-23,75.18,75.18,75.18,75.18,,1.03%
16-05-23,74.42,74.42,74.42,74.42,,-0.16%
15-05-23,74.54,74.54,74.54,74.54,,0.71%
12-05-23,74.01,74.01,74.01,74.01,,-0.98%
11-05-23,74.74,74.74,74.74,74.74,,-1.19%
10-05-23,75.64,75.64,75.64,75.64,,-1.19%
09-05-23,76.55,76.55,76.55,76.55,,0.39%
08-05-23,76.25,76.25,76.25,76.25,,1.83%
05-05-23,74.88,74.88,74.88,74.88,,3.28%
04-05-23,72.5,72.5,72.5,72.5,,0.31%
03-05-23,72.28,72.28,72.28,72.28,,-3.65%
02-05-23,75.01,75.01,75.01,75.01,,-5.33%
01-05-23,79.24,79.24,79.24,79.24,,-5.00%
28-04-23,83.41,83.41,83.41,83.41,,0.11%
27-04-23,83.32,83.32,83.32,83.32,,0.11%
26-04-23,83.23,83.23,83.23,83.23,,-0.46%
25-04-23,83.62,83.62,83.62,83.62,,-0.34%
24-04-23,83.9,83.9,83.9,83.9,,0.23%
21-04-23,83.71,83.71,83.71,83.71,,0.19%
20-04-23,83.55,83.55,83.55,83.55,,-0.96%
19-04-23,84.36,84.36,84.36,84.36,,-0.75%
18-04-23,85,85,85,85,,0.05%
17-04-23,84.95,84.95,84.95,84.95,,-0.81%
14-04-23,85.64,85.64,85.64,85.64,,0.03%
13-04-23,85.61,85.61,85.61,85.61,,-0.85%
12-04-23,86.35,86.35,86.35,86.35,,1.36%
11-04-23,85.19,85.19,85.19,85.19,,1.08%
10-04-23,84.28,84.28,84.28,84.28,,-0.84%
06-04-23,84.99,84.99,84.99,84.99,,0.47%
05-04-23,84.59,84.59,84.59,84.59,,0.15%
04-04-23,84.47,84.47,84.47,84.47,,-0.26%
03-04-23,84.69,84.69,84.69,84.69,,7.89%
31-03-23,78.49,78.49,78.49,78.49,,0.03%
30-03-23,78.47,78.47,78.47,78.47,,0.08%
29-03-23,78.41,78.41,78.41,78.41,,-0.05%
28-03-23,78.45,78.45,78.45,78.45,,0.06%
27-03-23,78.4,78.4,78.4,78.4,,0.70%
24-03-23,77.86,77.86,77.86,77.86,,-0.36%
23-03-23,78.13,78.13,78.13,78.13,,-0.28%
22-03-23,78.35,78.35,78.35,78.35,,0.49%
21-03-23,77.97,77.97,77.97,77.97,,0.78%
20-03-23,77.37,77.37,77.37,77.37,,0.30%
17-03-23,77.14,77.14,77.14,77.14,,-0.92%
16-03-23,77.85,77.85,77.85,77.85,,0.77%
15-03-23,77.25,77.25,77.25,77.25,,-2.46%
14-03-23,79.2,79.2,79.2,79.2,,-2.24%
13-03-23,81.01,81.01,81.01,81.01,,-1.39%
10-03-23,82.16,82.16,82.16,82.16,,1.13%
09-03-23,81.24,81.24,81.24,81.24,,-0.89%
08-03-23,81.97,81.97,81.97,81.97,,-0.12%
07-03-23,82.07,82.07,82.07,82.07,,-2.76%
06-03-23,84.4,84.4,84.4,84.4,,0.10%
03-03-23,84.31,84.31,84.31,84.31,,1.51%
02-03-23,83.06,83.06,83.06,83.06,,0.87%
01-03-23,82.35,82.34,82.34,82.34,,0.32%
28-02-23,82.08,82.08,82.08,82.08,,0.04%
27-02-23,82.05,82.05,82.05,82.05,,-0.09%
24-02-23,82.12,82.12,82.12,82.12,,0.17%
23-02-23,81.98,81.98,81.98,81.98,,0.36%
22-02-23,81.69,81.69,81.69,81.69,,-0.58%
21-02-23,82.17,82.17,82.17,82.17,,0.12%
17-02-23,82.07,82.07,82.07,82.07,,-0.92%
16-02-23,82.83,82.83,82.83,82.83,,-0.14%
15-02-23,82.95,82.95,82.95,82.95,,-0.12%
14-02-23,83.05,83.05,83.05,83.05,,-0.56%
13-02-23,83.52,83.52,83.52,83.52,,0.44%
10-02-23,83.15,83.15,83.15,83.15,,1.58%
09-02-23,81.86,81.86,81.86,81.86,,-0.37%
08-02-23,82.17,82.17,82.17,82.17,,1.21%
07-02-23,81.19,81.19,81.19,81.19,,2.80%
06-02-23,78.97,78.97,78.97,78.97,,1.12%
03-02-23,78.1,78.1,78.1,78.1,,-2.47%
02-02-23,80.07,80.07,80.07,80.07,,-0.31%
01-02-23,80.32,80.32,80.32,80.32,,-0.07%
31-01-23,80.38,80.38,80.38,80.38,,-0.04%
30-01-23,80.42,80.42,80.42,80.42,,-0.21%
27-01-23,80.58,80.58,80.58,80.58,,-0.19%
26-01-23,80.74,80.74,80.74,80.74,,0.20%
25-01-23,80.57,80.57,80.57,80.57,,-0.03%
24-01-23,80.6,80.6,80.6,80.6,,-0.58%
23-01-23,81.07,81.07,81.07,81.07,,0.09%
20-01-23,81,81,81,81,,0.63%
19-01-23,80.49,80.49,80.49,80.49,,0.38%
18-01-23,80.19,80.19,80.19,80.19,,-0.59%
17-01-23,80.66,80.66,80.66,80.66,,0.80%
13-01-23,80.02,80.02,80.02,80.02,,0.80%
12-01-23,79.39,79.39,79.39,79.39,,0.90%
11-01-23,78.68,78.68,78.68,78.68,,2.10%
10-01-23,77.06,77.06,77.06,77.06,,0.83%
09-01-23,76.43,76.43,76.43,76.43,,1.37%
06-01-23,75.4,75.4,75.4,75.4,,-0.08%
05-01-23,75.46,75.46,75.46,75.46,,1.03%
04-01-23,74.69,74.69,74.69,74.69,,-4.13%
03-01-23,77.91,77.91,77.91,77.91,,0.92%
30-12-22,77.2,77.2,77.2,77.2,,-0.06%
29-12-22,77.24,77.24,77.24,77.24,,-0.20%
28-12-22,77.39,77.39,77.39,77.39,,-0.16%
27-12-22,77.52,77.52,77.52,77.52,,0.05%
23-12-22,77.48,77.48,77.48,77.48,,0.79%
22-12-22,76.87,76.87,76.87,76.87,,-0.29%
21-12-22,77.1,77.1,77.1,77.1,,0.91%
20-12-22,76.4,76.4,76.4,76.4,,0.13%
19-12-22,76.31,76.31,76.31,76.31,,0.55%
16-12-22,75.89,75.89,75.89,75.89,,-1.31%
15-12-22,76.9,76.9,76.9,76.9,,-0.99%
14-12-22,77.67,77.67,77.67,77.67,,1.36%
13-12-22,76.62,76.62,76.62,76.62,,1.99%
12-12-22,75.13,75.13,75.13,75.13,,1.93%
09-12-22,73.71,73.71,73.71,73.71,,0.35%
08-12-22,73.45,73.45,73.45,73.45,,-0.57%
07-12-22,73.88,73.88,73.88,73.88,,-1.65%
06-12-22,75.12,75.12,75.12,75.12,,-3.10%
05-12-22,77.52,77.52,77.52,77.52,,-3.22%
02-12-22,80.1,80.1,80.1,80.1,,-1.04%
01-12-22,80.94,80.94,80.94,80.94,,-6.13%
30-11-22,86.22,86.22,86.22,86.22,,0.04%
29-11-22,86.19,86.19,86.19,86.19,,0.25%
28-11-22,85.97,85.97,85.97,85.97,,0.21%
25-11-22,85.79,85.79,85.79,85.79,,-0.11%
23-11-22,85.88,85.88,85.88,85.88,,-0.83%
22-11-22,86.6,86.6,86.6,86.6,,-0.02%
21-11-22,86.62,86.62,86.62,86.62,,-0.27%
18-11-22,86.86,86.86,86.86,86.86,,-0.84%
17-11-22,87.59,87.59,87.59,87.59,,-1.52%
16-11-22,88.94,88.94,88.94,88.94,,-0.56%
15-11-22,89.44,89.44,89.44,89.44,,-0.07%
14-11-22,89.5,89.5,89.5,89.5,,-1.77%
11-11-22,91.11,91.11,91.11,91.11,,1.96%
10-11-22,89.36,89.36,89.36,89.36,,0.63%
09-11-22,88.8,88.8,88.8,88.8,,-2.01%
08-11-22,90.62,90.62,90.62,90.62,,-2.23%
07-11-22,92.68,92.69,92.69,92.69,,-1.01%
04-11-22,93.63,93.63,93.63,93.63,,4.62%
03-11-22,89.5,89.5,89.5,89.5,,-2.58%
02-11-22,91.87,91.87,91.87,91.87,,0.71%
01-11-22,91.22,91.22,91.22,91.22,,0.10%
31-10-22,91.13,91.13,91.13,91.13,,0.02%
28-10-22,91.11,91.11,91.11,91.11,,-0.17%
27-10-22,91.26,91.27,91.27,91.27,,0.11%
26-10-22,91.16,91.16,91.16,91.16,,0.35%
25-10-22,90.84,90.84,90.84,90.84,,-0.04%
24-10-22,90.88,90.88,90.88,90.88,,-0.08%
21-10-22,90.95,90.95,90.95,90.95,,0.45%
20-10-22,90.54,90.54,90.54,90.54,,0.02%
19-10-22,90.53,90.53,90.53,90.53,,0.68%
18-10-22,89.92,89.92,89.92,89.92,,-0.87%
17-10-22,90.71,90.71,90.71,90.71,,-0.09%
14-10-22,90.79,90.78,90.78,90.78,,-1.77%
13-10-22,92.42,92.42,92.42,92.42,,0.92%
12-10-22,91.58,91.58,91.58,91.58,,-1.46%
11-10-22,92.93,92.93,92.93,92.93,,-1.57%
10-10-22,94.42,94.42,94.42,94.42,,-1.44%
07-10-22,95.8,95.8,95.8,95.8,,3.03%
